frame,Mass,x,y
287,0,400.34262,282.22797
287,1,310.13318,352.45026
288,0,388.85358,279.6923
288,1,288.87497,334.91483
289,0,378.04184,273.94885
289,1,269.63635,314.71008
290,0,365.96704,269.9641
290,1,255.82246,295.1027
291,0,356.42105,263.5056
291,1,243.06125,276.3891
292,0,347.62033,257.72913
292,1,235.08047,257.8723
293,0,343.88632,254.66222
293,1,229.69234,248.19579
294,0,335.52682,249.4052
294,1,223.79787,233.66121
295,0,329.73923,241.84964
295,1,220.4297,218.21117
296,0,319.5499,232.37898
296,1,213.33054,198.99457
297,0,315.67953,227.00375
297,1,210.92244,187.71263
298,0,311.92004,220.94496
298,1,209.81813,177.32161
299,0,308.14206,215.9798
299,1,208.02046,169.69716
300,0,307.00208,213.59715
300,1,207.21568,164.53404
301,0,305.1741,210.41963
301,1,206.48083,158.80664
302,0,304.054,206.84692
302,1,206.21504,152.99716
303,0,302.51862,203.20407
303,1,206.4501,145.8354
304,0,301.72623,202.41301
304,1,207.01816,143.91612
305,0,301.51035,202.687
305,1,207.77928,142.7185
306,0,302.5641,203.88185
306,1,208.04416,143.08224
307,0,302.70532,205.27658
307,1,209.1457,143.78557
308,0,303.62915,207.51692
308,1,210.34976,145.95148
309,0,304.89914,210.02809
309,1,211.93967,148.86018
310,0,307.37515,214.6222
310,1,213.44714,154.00934
311,0,311.89563,222.0734
311,1,217.6357,162.8262
312,0,314.98068,226.67984
312,1,219.3436,169.48558
313,0,320.14444,232.0304
313,1,222.21346,179.79147
314,0,322.4482,236.54471
314,1,223.3361,184.12016
315,0,328.8116,243.20378
315,1,228.41556,196.22061
316,0,335.9843,247.36421
316,1,231.71992,208.17029
317,0,346.78314,257.9593
317,1,239.9513,230.371
318,0,356.9415,264.22678
318,1,245.85385,243.70882
319,0,366.00137,270.6705
319,1,253.21819,264.68045
320,0,377.55774,274.45374
320,1,265.88727,282.9593
321,0,386.4197,278.94153
321,1,279.72,302.78555
322,0,398.7654,283.3659
322,1,294.71707,322.39685
323,0,410.4408,287.23514
323,1,314.01523,343.2657
324,0,422.8848,287.73523
324,1,337.33557,359.9312
325,0,426.14523,287.87817
325,1,351.02884,369.68597
326,0,438.11234,288.32816
326,1,380.9811,383.5085
327,0,449.35657,288.45724
327,1,415.1463,392.99963
328,0,463.3132,287.52148
328,1,468.75723,395.66098
329,0,472.25436,284.3722
329,1,505.73727,387.42584
330,0,480.3109,281.77734
330,1,538.6129,374.09348
331,0,489.18518,278.67932
331,1,566.6116,356.0417
332,0,492.98462,277.2639
332,1,578.45135,345.02554
333,0,501.80057,272.0843
333,1,600.0524,320.11154
334,0,511.35797,267.02228
334,1,615.74634,293.2318
335,0,521.11615,260.24316
335,1,630.11395,256.60315
336,0,529.248,253.58179
336,1,635.38275,237.01659
337,0,536.8867,248.26135
337,1,636.9916,212.04118
338,0,541.9164,242.45044
338,1,636.6582,191.22275
339,0,546.55536,239.94252
339,1,636.1135,182.26715
340,0,550.9376,234.06137
340,1,634.89844,164.11374
341,0,555.017,226.96652
341,1,631.4652,150.32251
342,0,559.13983,221.67462
342,1,625.884,136.8381
343,0,564.7095,215.06313
343,1,619.03076,121.02806
344,0,564.8788,209.97867
344,1,613.46747,112.57859
345,0,568.3638,207.17671
345,1,608.4521,105.72873
346,0,568.949,204.5466
346,1,605.3395,103.076584
347,0,570.0296,201.84721
347,1,596.2477,97.06207
348,0,571.29315,201.04039
348,1,590.8236,94.11885
349,0,570.3332,200.90742
349,1,585.21985,93.3238
350,0,570.6244,201.4149
350,1,579.6941,93.10225
351,0,569.15985,203.48474
351,1,574.0611,94.385086
352,0,568.5943,206.42526
352,1,568.1005,96.712494
353,0,565.928,209.34644
353,1,562.7949,100.13802
354,0,566.6358,211.37766
354,1,559.80945,102.48778
355,0,561.12195,218.78575
355,1,551.72595,109.22995
356,0,556.56946,224.29536
356,1,546.86816,114.907265
357,0,551.97504,231.37762
357,1,541.04156,121.30967
358,0,546.5746,238.32474
358,1,535.45166,127.78847
359,0,543.7045,240.96817
359,1,532.33777,131.16563
360,0,536.99054,246.86644
360,1,527.334,137.98569
361,0,527.6687,254.01706
361,1,521.8317,144.801
362,0,517.8513,260.7566
362,1,517.60864,152.2693
363,0,508.82327,267.71915
363,1,512.11237,158.61458
364,0,491.15598,277.44034
364,1,503.83826,168.12431
365,0,477.9618,282.363
365,1,499.2389,174.1093
366,0,464.51486,285.9803
366,1,495.2892,179.95004
367,0,450.7406,287.34933
367,1,492.04037,185.39896
368,0,435.2138,288.29553
368,1,487.49417,192.32915
369,0,427.5531,287.31985
369,1,485.77298,194.37248
370,0,412.37973,284.96802
370,1,483.3463,201.58801
371,0,398.12842,282.71356
371,1,480.1658,209.10161
372,0,380.41727,274.50174
372,1,475.27438,222.51648
373,0,367.28537,268.67487
373,1,471.52423,233.57765
374,0,354.85535,263.42563
374,1,465.01794,246.42432
375,0,350.5888,260.70367
375,1,462.2454,252.87541
376,0,341.86276,254.09438
376,1,451.77557,269.14346
377,0,335.94897,247.64873
377,1,440.62555,285.66983
378,0,324.9446,237.36581
378,1,413.41217,308.41235
379,0,322.06427,232.85445
379,1,391.64194,321.2873
380,0,318.22516,229.94586
380,1,367.13666,331.07162
381,0,318.44702,227.90138
381,1,340.2419,337.03165
382,0,317.64554,227.6792
382,1,313.55286,338.90326
383,0,317.6146,228.3953
383,1,283.6741,334.36533
384,0,318.88657,230.61136
384,1,256.0921,322.31137
385,0,322.3205,233.09743
385,1,237.21373,305.48254
386,0,323.30698,235.6722
386,1,228.28018,296.33496
387,0,326.1164,238.39845
387,1,218.16603,271.82358
388,0,332.6508,245.45683
388,1,216.7593,236.88983
389,0,336.1331,247.65108
389,1,227.45676,213.62563
390,0,340.2538,251.14096
390,1,245.8881,191.03928
391,0,346.013,253.53746
391,1,267.56982,175.43094
392,0,346.9212,256.91696
392,1,276.33405,170.88196
393,0,351.07065,258.48444
393,1,302.89194,160.0077
394,0,355.19025,261.90414
394,1,327.49887,155.39326
395,0,359.59827,265.18082
395,1,354.37073,155.17378
396,0,367.6191,269.45862
396,1,394.3243,162.8048
397,0,374.79034,272.16177
397,1,422.32623,173.9197
398,0,381.7046,275.221
398,1,445.05692,186.77664
399,0,385.92908,276.30426
399,1,455.74362,193.97464
400,0,390.827,279.36243
400,1,476.62134,212.85428
401,0,400.5002,280.79617
401,1,498.4852,235.63422
402,0,410.35672,283.08795
402,1,514.125,257.51675
403,0,423.8569,285.7025
403,1,531.1509,293.7429
404,0,436.19238,287.3011
404,1,536.9588,324.6543
405,0,450.46475,286.23883
405,1,535.7967,350.0576
406,0,455.1827,284.27808
406,1,531.6595,363.55298
407,0,469.6009,283.18262
407,1,520.0803,379.48465
408,0,481.60626,278.8455
408,1,501.6719,386.33456
409,0,501.16458,270.779
409,1,471.27655,377.03107
410,0,511.90445,264.16574
410,1,451.99295,358.45386
411,0,520.60516,258.8295
411,1,438.8921,336.41647
412,0,527.703,254.1739
412,1,430.0615,309.31424
413,0,534.09546,248.86943
413,1,425.74905,279.4968
414,0,537.55566,245.60309
414,1,423.46338,252.18953
415,0,541.0799,242.43921
415,1,426.29944,223.43507
416,0,542.7177,240.49701
416,1,439.95923,200.23703
417,0,543.8007,238.81837
417,1,449.81857,179.68695
418,0,546.35693,237.5983
418,1,467.9666,159.22285
419,0,546.4804,238.06187
419,1,476.97147,150.48213
420,0,546.4314,237.71153
420,1,497.44604,138.40193
421,0,546.53674,237.61752
421,1,531.1231,129.0141
422,0,546.267,237.58849
422,1,555.2245,129.3175
423,0,545.5506,237.57333
423,1,555.2294,129.29356
424,0,543.86316,238.81622
424,1,575.4938,134.92908
425,0,542.23444,240.2978
425,1,607.60315,153.0646
426,0,541.69006,241.35432
426,1,624.03235,172.48505
427,0,540.4302,242.52519
427,1,637.14777,193.01549
428,0,541.0301,243.5425
428,1,647.0055,219.28828
429,0,540.557,244.11732
429,1,646.92474,252.3819
430,0,539.74396,243.282
430,1,645.3082,263.00092
431,0,539.2004,244.32304
431,1,633.0807,297.93365
432,0,537.903,246.08882
432,1,614.4818,321.86227
433,0,534.9457,246.97957
433,1,573.4712,350.52557
434,0,532.70795,249.44118
434,1,540.6311,359.6276
435,0,527.6713,253.06259
435,1,507.4119,361.9831
436,0,523.8404,256.35736
436,1,475.02185,357.46915
437,0,520.91187,259.444
437,1,461.36368,354.11032
438,0,513.49036,263.72305
438,1,433.05655,343.0946
439,0,505.03955,269.43643
439,1,410.53708,329.6768
440,0,488.97006,276.86734
440,1,380.39413,308.1153
441,0,477.04016,281.29553
441,1,365.67816,292.94644
442,0,464.26984,283.89377
442,1,352.5578,280.76242
443,0,451.1522,284.94604
443,1,338.324,269.71487
444,0,436.07333,286.2849
444,1,327.27066,258.01535
445,0,423.51242,285.45508
445,1,317.2078,248.7808
446,0,410.8804,284.1759
446,1,306.27863,242.07231
447,0,405.0534,282.06506
447,1,301.47934,237.79039
448,0,391.54337,278.22162
448,1,288.6887,231.57803
449,0,380.34702,273.8046
449,1,277.21503,226.29462
450,0,362.12357,266.16052
450,1,261.35165,221.35207
451,0,352.09442,259.77618
451,1,250.25565,218.45796
452,0,343.06555,253.40363
452,1,238.90598,217.45856
453,0,341.12213,250.15439
453,1,233.74854,217.73114
454,0,332.71194,243.46109
454,1,223.90611,217.93306
455,0,326.7974,237.33249
455,1,215.90576,220.69049
456,0,319.31116,230.57686
456,1,210.30637,223.74815
457,0,313.26694,222.87016
457,1,203.7746,231.88472
458,0,310.02863,216.46918
458,1,201.46312,237.98291
459,0,308.0309,210.86874
459,1,201.34404,245.53003
460,0,306.72455,209.30505
460,1,202.26486,249.18762
461,0,304.38495,204.80014
461,1,205.42677,256.86237
462,0,303.00528,202.7059
462,1,211.12625,263.81964
463,0,302.6265,199.37434
463,1,220.60019,276.16107
464,0,301.0699,199.21126
464,1,230.16542,284.5241
465,0,302.14212,200.2526
465,1,239.65671,291.82404
466,0,302.69083,202.17488
466,1,250.2218,299.15186
467,0,302.99457,203.60219
467,1,255.75656,303.3821
468,0,305.16138,206.18903
468,1,267.12247,310.5153
469,0,307.0231,210.76935
469,1,279.16708,317.17957
470,0,311.7566,218.73416
470,1,297.46567,328.12753
471,0,315.9546,225.01265
471,1,309.14832,334.28796
472,0,319.86234,231.72043
472,1,321.8104,341.46356
473,0,327.3834,237.56258
473,1,333.73917,348.73068
474,0,337.1864,245.30472
474,1,346.68365,355.3155
475,0,344.0779,253.59183
475,1,359.50714,362.93695
476,0,354.3121,260.9817
476,1,371.27298,369.82608
477,0,359.10638,264.44418
477,1,377.31775,372.7256
478,0,372.24847,271.09805
478,1,388.2965,379.3176
479,0,385.15317,276.8958
479,1,399.25818,385.20453
480,0,406.66113,283.6505
480,1,415.44168,392.19525
481,0,422.79282,285.40668
481,1,426.84827,394.6673
